Industry,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"  Arts, entertainment, recreation, accommodation, and food services",52.2,57.9,60.8,68.4,76.1,83.2,93.2,104.4,114.3,128.9,146.9,162.2,181,192.8,209.6,227.8,244.7,261.3,287.2,319.5,340.7,369.9,380.1,403.6,431.8,459,486.2,516.1,550.8,,,,,,,,,,,,,,,,,,,,,
"    Arts, entertainment, and recreation",9.3,10.1,10.7,11.6,13.1,14.9,16.8,18.8,21,22.9,25.3,28.6,32.9,35,38.5,41.1,44.8,46.7,49.4,55.8,61.3,69.7,72.8,81.5,89.8,97.3,108.7,118.6,127.4,,,,,,,,,,,,,,,,,,,,,
"      Performing arts, spectator sports, museums, and related activities",4.9,5.4,5.7,6.1,6.8,7.5,8.3,9.1,10,11,12.3,14,15.9,16.9,18.5,19.9,21.2,22,23.1,25.7,27.1,32.1,33.9,37,41.9,45.7,50.6,55.9,59.3,,,,,,,,,,,,,,,,,,,,,
"      Amusements, gambling, and recreation industries",4.4,4.8,5,5.5,6.3,7.4,8.5,9.7,11,11.9,13,14.6,17,18.1,20,21.2,23.6,24.8,26.3,30.1,34.2,37.6,38.9,44.5,48,51.6,58.1,62.6,68.1,,,,,,,,,,,,,,,,,,,,,
    Accommodation and food services,42.9,47.8,50,56.9,63,68.3,76.4,85.6,93.3,106,121.6,133.5,148.1,157.7,171.1,186.7,199.9,214.6,237.8,263.7,279.4,300.2,307.3,322.1,341.9,361.7,377.5,397.5,423.4,,,,,,,,,,,,,,,,,,,,,
      Accommodation,9.5,10.3,10.1,12.5,13.6,14.4,15.8,18,19.5,22.3,26.2,29,33.6,35.7,38.9,45.2,50.6,53.8,61.2,67.3,70.9,74.7,76,82.5,87.5,94.8,101.5,109.2,116.5,,,,,,,,,,,,,,,,,,,,,
      Food services and drinking places,33.5,37.5,39.9,44.4,49.4,53.9,60.5,67.5,73.8,83.7,95.4,104.6,114.5,122,132.1,141.5,149.3,160.8,176.5,196.4,208.5,225.6,231.3,239.6,254.4,266.9,276,288.3,307,,,,,,,,,,,,,,,,,,,,,
"  Other services, except government",41.7,43.9,45.9,47.8,51.4,55.3,61.4,68.8,78.1,85.6,93.6,99.7,107.7,113,127.3,143.2,161.6,173.4,190.4,211.5,229.7,243.4,243.2,266.9,278.8,299,321.7,339.9,352,,,,,,,,,,,,,,,,,,,,,
Government,219.5,236,256.3,278.7,297.2,330,366,391.8,424.8,466.6,512.7,573.8,644.6,706.9,762.7,817.7,892.3,955.8,1004.9,1067.4,1150,1237.7,1317.7,1382.4,1431.7,1492.3,1548.4,1599,1665.2,,,,,,,,,,,,,,,,,,,,,
  Federal,115.2,117.6,123.1,131.4,134.5,146.5,157.2,167.3,180.3,197.3,215.6,244.5,280,306.5,330.6,350.2,379.8,402,415.9,434.5,458.3,484.4,511.8,519.9,519.4,524.6,527,530.6,541.5,,,,,,,,,,,,,,,,,,,,,
    General government,105.6,107.7,112.5,119.2,122.2,131.7,142.3,148.6,160.8,175,191.2,218.2,247.9,273.4,295.9,313.6,339,359.4,371.3,385.9,406.7,429.8,453,459,456.6,458.7,456.2,457,465.1,,,,,,,,,,,,,,,,,,,,,
      National defense,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
      Nondefense,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
    Government enterprises,9.5,9.9,10.6,12.2,12.3,14.8,14.9,18.7,19.5,22.2,24.4,26.3,32.1,33.2,34.7,36.6,40.8,42.6,44.7,48.5,51.6,54.7,58.8,60.9,62.8,65.9,70.8,73.7,76.4,,,,,,,,,,,,,,,,,,,,,
  State and local,104.3,118.4,133.2,147.3,162.6,183.5,208.8,224.5,244.5,269.3,297.1,329.3,364.6,400.4,432.1,467.5,512.5,553.8,589,632.9,691.7,753.3,805.9,862.5,912.3,967.7,1021.3,1068.4,1123.6,,,,,,,,,,,,,,,,,,,,,
    General government,92.7,105.6,119.4,132.2,145.7,165.3,188.5,203,221.4,242.1,266.7,295.1,326.4,355.6,381.6,410.2,449,484.4,519.5,558.6,611.8,668.7,716.9,769.2,810.9,857.7,904.5,944.4,993.5,,,,,,,,,,,,,,,,,,,,,
    Government enterprises,11.6,12.8,13.8,15,16.9,18.2,20.3,21.5,23.1,27.1,30.3,34.2,38.2,44.7,50.6,57.3,63.6,69.4,69.6,74.3,79.9,84.6,89,93.3,101.5,110,116.8,124,130.1,,,,,,,,,,,,,,,,,,,,,
Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Private goods-producing industries [1],831.9,832.2,892.2,1002.6,1168.7,1331.9,1361.9,1533.1,1740.2,1972.7,2263.2,2435,2681.5,2593.2,2684,2982,3025.9,2968.5,3215.6,3456.1,3642.1,3738.1,3644.8,3799.7,3961.6,4251.5,4529.8,4758.2,5041.8,,,,,,,,,,,,,,,,,,,,,
    Private services-producing industries [2],773.5,834.8,900.8,992.5,1090.2,1215.8,1327.4,1509.8,1707.7,1927.5,2149.6,2453.2,2707.5,2875,3184.2,3514.2,3857.5,4106.7,4487,4910.8,5277.8,5648.8,5845.5,6198.9,6631.1,7083,7575.1,8106.2,8686.4,,,,,,,,,,,,,,,,,,,,,
    Information-communications-technology-producing industries [3],...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,
Legend / Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
